,Year,Plot,Ring,CO2_Treatment,Nitrogen_Treatment,CountOfSpecies,measured_species,measured_group,photo_rep,date,time,measurement_taken_at_growth_CO2,PAR,transpiration_rate,Amax_area_mol_CO2_m2_s1,tleaf,gs_mmol_m2_s1,A_gs_mmol_CO2_mol_H2O,SLA_cm2_g,assimilation_rate,portable_gas_exchange_system_used
1,1998,8,1,Cenrich,Nenrich,1,Schizachyrium scoparium,C4,1,7/17/1998,9:32 AM,atgrwth,2173,1.969,16.8,29,68.7,0.24533,249,419.4,Ciras-1
2,1998,8,1,Cenrich,Nenrich,1,Schizachyrium scoparium,C4,1,7/17/1998,9:35 AM,other,2181,1.969,9.4,27.1,80.4,0.11677,249,233.6,Ciras-1
3,1998,8,1,Cenrich,Nenrich,1,Schizachyrium scoparium,C4,2,7/21/1998,10:56 AM,atgrwth,1271,2.15,12.6,25.9,123.3,0.10211,186.8,235.2,Ciras-1
4,1998,8,1,Cenrich,Nenrich,1,Schizachyrium scoparium,C4,2,7/21/1998,11:00 AM,other,1341,2.581,7.3,25.7,152.5,0.0481,186.8,137,Ciras-1
5,1998,8,1,Cenrich,Nenrich,1,Schizachyrium scoparium,C4,3,7/23/1998,9:43 AM,atgrwth,1854,2.165,13.6,28.6,79.3,0.17098,213.5,289.5,Ciras-1
6,1998,8,1,Cenrich,Nenrich,1,Schizachyrium scoparium,C4,3,7/23/1998,9:46 AM,other,1565,1.781,9.2,25.1,86.2,0.10675,213.5,196.5,Ciras-1
7,1998,8,1,Cenrich,Nenrich,1,Schizachyrium scoparium,C4,4,7/24/1998,12:57 PM,atgrwth,2400,1.74,14.8,25.3,86,0.17242,209.7,310.9,Ciras-1
8,1998,8,1,Cenrich,Nenrich,1,Schizachyrium scoparium,C4,4,7/24/1998,12:59 PM,other,2288,2.393,10.7,25.8,115.9,0.09261,209.7,225.1,Ciras-1
9,1998,13,1,Cenrich,Nenrich,16,Achillea millefolium,forb,3,7/30/1998,3:14 PM,atgrwth,2096,1.599,5.8,24.8,85,0.06855,127.1,74,Ciras-1
10,1998,13,1,Cenrich,Nenrich,16,Achillea millefolium,forb,3,7/30/1998,3:16 PM,other,2133,1.46,2.8,25.9,69.9,0.04055,127.1,36.1,Ciras-1
11,1998,13,1,Cenrich,Nenrich,16,Andropogon gerardi,C4,3,7/30/1998,3:12 PM,atgrwth,1407,2.32,4.8,27.7,93.3,0.05104,310.8,147.9,Ciras-1
12,1998,13,1,Cenrich,Nenrich,16,Andropogon gerardi,C4,3,7/30/1998,3:14 PM,other,1429,1.944,2.9,27.7,78.6,0.03742,310.8,91.4,Ciras-1
13,1998,13,1,Cenrich,Nenrich,16,Bromus inermis,C3,3,7/30/1998,3:02 PM,atgrwth,1433,1.974,5.3,27.2,83.2,0.06317,189.6,99.7,Ciras-1
14,1998,13,1,Cenrich,Nenrich,16,Bromus inermis,C3,3,7/30/1998,3:05 PM,other,1418,1.974,2.5,26.6,86.9,0.02847,189.6,46.9,Ciras-1
15,1998,13,1,Cenrich,Nenrich,16,Lupinus perennis,legume,3,7/30/1998,3:03 PM,atgrwth,1968,7.883,25.9,25.8,898.8,0.02881,146,378.2,Ciras-1
16,1998,13,1,Cenrich,Nenrich,16,Lupinus perennis,legume,3,7/30/1998,3:06 PM,other,1997,9.445,18.1,27.5,983.6,0.01837,146,263.8,Ciras-1
17,1998,22,1,Cenrich,Nenrich,1,Bromus inermis,C3,1,6/26/1998,11:06 AM,atgrwth,1920,4.18,10.6,26.8,349.1,0.03049,212,225.7,Ciras-1
18,1998,22,1,Cenrich,Nenrich,1,Bromus inermis,C3,1,6/26/1998,11:08 AM,other,2016,4.046,5,26.5,363,0.01382,212,106.4,Ciras-1
19,1998,22,1,Cenrich,Nenrich,1,Bromus inermis,C3,2,7/1/1998,1:04 PM,atgrwth,1594,1.82,9.8,29.5,97,0.10072,154.2,150.6,Ciras-1
20,1998,22,1,Cenrich,Nenrich,1,Bromus inermis,C3,2,7/1/1998,1:07 PM,other,1400,2.004,6.3,26.3,194.9,0.03238,154.2,97.3,Ciras-1
21,1998,22,1,Cenrich,Nenrich,1,Bromus inermis,C3,3,7/8/1998,11:35 AM,atgrwth,1830,3.842,11.1,25.9,352.3,0.03144,237.7,263.3,Ciras-1
22,1998,22,1,Cenrich,Nenrich,1,Bromus inermis,C3,3,7/8/1998,11:39 AM,other,1814,4.041,5.1,25.7,417.1,0.01224,237.7,121.4,Ciras-1
23,1998,22,1,Cenrich,Nenrich,1,Bromus inermis,C3,4,7/16/1998,2:34 PM,atgrwth,1400,2.689,10.7,27.7,161.9,0.06579,200.3,213.4,Ciras-1
